"","gender","Age","Attitude","Deep","Stra","Surf","Points"
"1","F",53,37,43,27,31,25
"2","M",55,31,35,22,38,12
"3","F",49,25,42,29,27,24
"4","M",53,35,42,25,27,10
"5","M",49,37,44,29,34,22
"6","F",38,38,57,29,29,21
"7","M",50,35,46,18,23,21
"8","F",37,29,39,32,34,31
"9","M",37,38,52,34,26,24
"10","F",42,21,48,28,36,26
"11","M",37,39,43,29,32,31
"12","F",34,38,46,38,29,31
"13","F",34,24,51,29,27,23
"14","F",34,30,40,28,33,25
"15","M",35,26,50,14,28,21
"16","F",33,41,44,31,28,31
"17","F",32,26,49,11,35,20
"18","F",44,26,42,26,30,22
"19","M",29,17,49,24,45,9
"20","F",30,27,48,30,33,24
"21","M",27,39,47,21,28,28
"22","M",29,34,48,19,29,30
"23","F",31,27,48,29,36,24
"24","F",37,23,44,22,29,9
"25","F",26,37,44,14,34,26
"26","F",26,44,53,26,38,32
"27","M",30,41,47,32,36,32
"28","F",33,37,45,29,24,33
"29","F",33,25,39,23,42,29
"30","M",28,30,43,24,45,30
"31","M",26,34,59,13,30,19
"32","F",27,32,43,26,25,23
"33","F",25,20,35,28,29,19
"34","F",31,24,44,24,31,12
"35","M",20,42,54,26,19,10
"36","F",39,16,49,15,34,11
"37","M",38,31,46,35,22,20
"38","M",24,38,39,29,29,26
"39","M",26,38,28,20,39,31
"40","M",25,33,40,10,41,20
"41","F",30,17,49,32,41,23
"42","F",25,25,35,24,38,12
"43","M",30,32,40,20,42,24
"44","F",48,35,46,39,32,17
"45","F",24,32,44,40,29,29
"46","F",40,42,56,35,43,23
"47","M",25,31,45,26,25,28
"48","F",23,39,41,32,45,31
"49","F",25,19,50,25,35,23
"50","F",23,21,35,20,35,25
"51","M",27,25,50,25,29,18
"52","M",25,32,43,26,36,19
"53","M",23,32,34,17,41,22
"54","F",23,26,48,22,35,25
"55","F",23,23,35,19,39,21
"56","F",45,38,36,25,39,9
"57","F",22,28,49,32,28,28
"58","F",23,33,35,32,39,25
"59","M",21,48,42,18,30,29
"60","M",21,40,52,26,21,33
"61","F",21,40,51,29,27,33
"62","F",21,47,41,29,25,25
